Timestamp,Event,Event Data
4:26:40.883 PM 1/21/2025,Boiler Initialized,0
4:26:43.888 PM 1/21/2025,Boiler Ready,0
4:26:56.351 PM 1/21/2025,Boiler Initialized,0
4:26:58.226 PM 1/21/2025,Boiler Ready,0
4:35:28.544 PM 1/21/2025,Boiler Initialized,0
4:35:31.113 PM 1/21/2025,Boiler Ready,0
4:38:24.997 PM 1/21/2025,Boiler Initialized,0
4:38:27.988 PM 1/21/2025,Boiler Ready,0
4:43:39.777 PM 1/21/2025,Boiler Initialized,0
4:43:42.375 PM 1/21/2025,Boiler Ready,0
4:43:59.661 PM 1/21/2025,Start Pre-Purge,10.028006
4:57:14.369 PM 1/21/2025,Boiler Initialized,0
4:57:17.593 PM 1/21/2025,Boiler Ready,0
4:57:29.207 PM 1/21/2025,Start Pre-Purge,10.022125
4:57:56.594 PM 1/21/2025,Boiler Initialized,0
4:57:58.748 PM 1/21/2025,Boiler Ready,0
4:58:09.635 PM 1/21/2025,Start Pre-Purge,10.023258
5:00:04.160 PM 1/21/2025,Boiler Initialized,0
5:00:06.157 PM 1/21/2025,Boiler Ready,0
5:00:17.032 PM 1/21/2025,Start Pre-Purge,10.030012
5:01:01.671 PM 1/21/2025,Boiler Initialized,0
5:04:24.112 PM 1/21/2025,Boiler Initialized,0
5:15:44.559 PM 1/21/2025,Boiler Initialized,0
5:15:51.114 PM 1/21/2025,Boiler Initialized,0
5:16:12.279 PM 1/21/2025,Boiler Initialized,0
5:16:15.220 PM 1/21/2025,Boiler Initialized,0
5:16:27.984 PM 1/21/2025,Boiler Initialized,0
5:16:30.842 PM 1/21/2025,Boiler Ready,0
5:16:43.375 PM 1/21/2025,Start Pre-Purge,10.018284
5:16:50.873 PM 1/21/2025,Boiler Initialized,0
5:17:55.123 PM 1/21/2025,Boiler Initialized,0
5:17:56.957 PM 1/21/2025,Boiler Ready,0
5:18:07.687 PM 1/21/2025,Start Pre-Purge,10.014071
5:18:07.697 PM 1/21/2025,Pre-Purge Complete,0.008543
5:29:36.705 PM 1/21/2025,Boiler Initialized,0
5:29:41.000 PM 1/21/2025,Boiler Ready,0
5:29:51.833 PM 1/21/2025,Start Pre-Purge,10.024977
5:29:51.836 PM 1/21/2025,Pre-Purge Complete,0.003689
